,symbol,date_timestamp,open,low,high,close,volume,expiry,expiry_type
0,NIFTY,2024-10-17 09:15:00,25061,25050,25072,25062,49675,2024-10-31 14:30:00,I
1,NIFTY,2024-10-17 09:16:00,25062,25041,25064,25045,31375,2024-10-31 14:30:00,I
2,NIFTY,2024-10-17 09:17:00,25045,25035,25045,25039,18750,2024-10-31 14:30:00,I
3,NIFTY,2024-10-17 09:18:00,25039,25032,25044,25037,19725,2024-10-31 14:30:00,I
4,NIFTY,2024-10-17 09:19:00,25037,25025,25040,25034,13300,2024-10-31 14:30:00,I
5,NIFTY,2024-10-17 09:20:00,25023,25013,25028,25013,36825,2024-10-31 14:30:00,I
6,NIFTY,2024-10-17 09:21:00,25015,25005,25018,25012,34075,2024-10-31 14:30:00,I
7,NIFTY,2024-10-17 09:22:00,25012,25010,25017,25015,10675,2024-10-31 14:30:00,I
8,NIFTY,2024-10-17 09:23:00,25017,25015,25031,25022,26525,2024-10-31 14:30:00,I
9,NIFTY,2024-10-17 09:24:00,25016,25005,25024,25013,15575,2024-10-31 14:30:00,I
10,NIFTY,2024-10-17 09:25:00,25013,25003,25019,25016,12725,2024-10-31 14:30:00,I
11,NIFTY,2024-10-17 09:26:00,25017,25002,25017,25002,14275,2024-10-31 14:30:00,I
12,NIFTY,2024-10-17 09:27:00,25002,24989,25002,24998,26175,2024-10-31 14:30:00,I
13,NIFTY,2024-10-17 09:28:00,24995,24991,25000,24994,14650,2024-10-31 14:30:00,I
14,NIFTY,2024-10-17 09:29:00,24995,24994,25009,25009,10875,2024-10-31 14:30:00,I
15,NIFTY,2024-10-17 09:30:00,25007,24997,25008,25003,31825,2024-10-31 14:30:00,I
16,NIFTY,2024-10-17 09:31:00,25003,25000,25009,25009,32975,2024-10-31 14:30:00,I
17,NIFTY,2024-10-17 09:32:00,25007,25007,25023,25010,15050,2024-10-31 14:30:00,I
18,NIFTY,2024-10-17 09:33:00,25014,25005,25017,25009,11100,2024-10-31 14:30:00,I
19,NIFTY,2024-10-17 09:34:00,25005,24970,25013,24973,39900,2024-10-31 14:30:00,I
20,NIFTY,2024-10-17 09:35:00,24974,24952,24982,24955,61400,2024-10-31 14:30:00,I
21,NIFTY,2024-10-17 09:36:00,24955,24950,24960,24952,73325,2024-10-31 14:30:00,I
22,NIFTY,2024-10-17 09:37:00,24954,24941,24964,24942,61075,2024-10-31 14:30:00,I
23,NIFTY,2024-10-17 09:38:00,24942,24935,24947,24938,29000,2024-10-31 14:30:00,I
24,NIFTY,2024-10-17 09:39:00,24938,24929,24938,24929,78700,2024-10-31 14:30:00,I
25,NIFTY,2024-10-17 09:40:00,24926,24911,24926,24912,51575,2024-10-31 14:30:00,I
26,NIFTY,2024-10-17 09:41:00,24914,24905,24929,24925,62475,2024-10-31 14:30:00,I
27,NIFTY,2024-10-17 09:42:00,24924,24920,24932,24928,38600,2024-10-31 14:30:00,I
28,NIFTY,2024-10-17 09:43:00,24928,24900,24928,24915,36025,2024-10-31 14:30:00,I
29,NIFTY,2024-10-17 09:44:00,24915,24907,24923,24916,29700,2024-10-31 14:30:00,I
30,NIFTY,2024-10-17 09:45:00,24916,24880,24916,24880,81900,2024-10-31 14:30:00,I
31,NIFTY,2024-10-17 09:46:00,24886,24880,24901,24899,38550,2024-10-31 14:30:00,I
32,NIFTY,2024-10-17 09:47:00,24899,24895,24907,24900,20675,2024-10-31 14:30:00,I
33,NIFTY,2024-10-17 09:48:00,24902,24891,24902,24896,16100,2024-10-31 14:30:00,I
34,NIFTY,2024-10-17 09:49:00,24897,24881,24900,24881,23575,2024-10-31 14:30:00,I
35,NIFTY,2024-10-17 09:50:00,24881,24874,24902,24898,40525,2024-10-31 14:30:00,I
