,EntryTime,DeltaLB,DeltaUB,sharpie,mal,map,total_pnl,MPL_Ratio,max_pnl,min_pnl,win_ratio
0,"(9, 15)",0.2,0.55,0.234490738,-18.60261833,33.5411447,11552.812,-1.803033536,5202.276,-394.762,1.892307692
1,"(9, 15)",0.3,0.55,0.136321578,-21.29192865,36.6962432,11535.91,-1.723481409,4124.63,-472.664,1.46557377
2,"(9, 15)",0.4,0.55,0.104741148,-19.19617433,37.37183786,12520.856,-1.946837803,4781.994,-483.068,1.384126984
3,"(9, 30)",0.2,0.55,0.226178083,-19.8700886,30.98069814,10874.127,-1.559162557,5142.491,-551.511,1.629370629
4,"(9, 30)",0.3,0.55,0.111841883,-19.23059077,35.65319081,11312.292,-1.853983127,4044.854,-389.842,1.425806452
5,"(9, 30)",0.4,0.55,0.095294039,-19.10538543,36.1913521,11342.398,-1.894301072,4786.656,-432.629,1.339563863
6,"(9, 45)",0.2,0.55,0.248129936,-17.91925095,28.66346289,11175.089,-1.599590461,4818.397,-319.706,1.638596491
7,"(9, 45)",0.3,0.55,0.096621318,-19.65555079,33.96387666,8577.772,-1.727953443,4071.671,-389.842,1.45751634
8,"(9, 45)",0.4,0.55,0.073060499,-18.8247382,32.97670816,9568.551,-1.751775128,4345.91,-432.629,1.289634146
9,"(10, 0)",0.2,0.55,0.194596096,-17.6855802,25.37380835,7624.922,-1.434717327,2822.731,-320.668,1.629370629
10,"(10, 0)",0.3,0.55,0.118464874,-19.47891877,31.41955154,9194.137,-1.613002853,3695.327,-389.842,1.481848185
11,"(10, 0)",0.4,0.55,0.075671689,-20.61524912,32.24667674,10446.262,-1.56421475,4211.848,-432.629,1.454248366
12,"(10, 15)",0.2,0.55,0.226894347,-17.79790082,32.79588153,9370.999,-1.842682565,5234.06,-319.766,1.682142857
13,"(10, 15)",0.3,0.55,0.114354136,-19.50375656,32.96428439,11084.982,-1.690150525,3865.385,-389.842,1.515050167
14,"(10, 15)",0.4,0.55,0.078406957,-19.38869674,32.41242822,9826.077,-1.671717736,3903.848,-432.629,1.399361022
