,symbol
0,20MICRONS
1,21STCENMGM
2,360ONE
3,3IINFOLTD
4,3IINFOTECH
5,3MINDIA
6,3PLAND
7,4THDIM
8,5PAISA
9,63MOONS
10,8KMILES
11,A2ZINFRA
12,AAATECH
13,AADHARHFC
14,AAKASH
15,AAREYDRUGS
16,AARON
17,AARTECH
18,AARTIDRUGS
19,AARTIIND
20,AARTIPHARM
21,AARTISURF
22,AARVEEDEN
23,AARVI
24,AAVAS
25,ABAN
26,ABB
27,ABBOTINDIA
28,ABCAPITAL
29,ABDL
30,ABFRL
31,ABGSEC
32,ABINFRA
33,ABMINTLLTD
34,ABMINTLTD
35,ABREL
36,ABSLAMC
37,ABSLBANETF
38,ABSLLIQUID
39,ABSLNN50ET
40,ABSLPSE
41,ACC
42,ACCELYA
43,ACCURACY
44,ACE
45,ACEINTEG
46,ACI
47,ACL
48,ACLGATI
49,ACMESOLAR
50,ACRYSIL
51,ADANIENSOL
52,ADANIENT
53,ADANIGAS
54,ADANIGREEN
55,ADANIPORTS
56,ADANIPOWER
57,ADANITRANS
58,ADFFOODS
59,ADHUNIKIND
60,ADL
61,ADLABS
62,ADORWELD
63,ADROITINFO
64,ADSL
65,ADVANIHOTR
66,ADVENZYMES
67,AEGISCHEM
68,AEGISLOG
69,AEROFLEX
70,AETHER
71,AFCONS
72,AFFLE
73,AFFORDABLE
74,AFIL
75,AGARIND
76,AGARWALEYE
77,AGCNET
78,AGI
79,AGIIL
80,AGRITECH
81,AGROPHOS
82,AGSTRA
83,AHL
84,AHLADA
85,AHLEAST
86,AHLUCONT
87,AHLWEST
88,AIAENG
89,AIIL
90,AIONJSW
91,AIRAN
92,AIROLAM
93,AJANTPHARM
94,AJAXENGG
95,AJMERA
96,AJOONI
97,AJRINFRA
98,AKASH
99,AKG
100,AKI
101,AKSHAR
102,AKSHARCHEM
103,AKSHOPTFBR
104,AKUMS
105,AKZOINDIA
106,ALANKIT
107,ALBERTDAVD
108,ALBK
109,ALCHEM
110,ALEMBICLTD
111,ALICON
112,ALIVUS
113,ALKALI
114,ALKEM
115,ALKYLAMINE
116,ALLCARGO
117,ALLDIGI
118,ALLSEC
119,ALMONDZ
120,ALOKINDS
121,ALPA
122,ALPHA
123,ALPHAETF
124,ALPHAGEO
125,ALPL30IETF
126,ALPSINDUS
127,AMARAJABAT
128,AMBER
129,AMBICAAGAR
130,AMBIKCO
131,AMBUJACEM
132,AMDIND
133,AMIORG
134,AMJLAND
135,AMNPLST
136,AMRUTANJAN
137,ANANDRATHI
138,ANANTRAJ
139,ANDHRABANK
140,ANDHRACEMT
141,ANDHRAPAP
142,ANDHRSUGAR
143,ANDPAPER
144,ANDREWYU
145,ANGELBRKG
146,ANGELONE
147,ANIKINDS
148,ANKITMETAL
149,ANMOL
150,ANSALAPI
151,ANSALHSG
152,ANTGRAPHIC
153,ANUHPHR
154,ANUP
155,ANURAS
156,APARINDS
157,APCL
158,APCOTEXIND
159,APEX
160,APLAPOLLO
161,APLLTD
162,APOLLO
163,APOLLOHOSP
164,APOLLOPIPE
165,APOLLOTYRE
166,APOLSINHOT
167,APTECHT
168,APTUS
169,ARCHIDPLY
170,ARCHIES
171,ARCOTECH
172,ARE&M
173,ARENTERP
174,ARIES
175,ARIHANT
176,ARIHANTCAP
177,ARIHANTSUP
178,ARKADE
179,ARMANFIN
180,AROGRANITE
181,ARROWGREEN
182,ARROWTEX
183,ARSHIYA
184,ARSSINFRA
185,ARTEMISMED
186,ARTNIRMAN
187,ARVEE
188,ARVIND
189,ARVINDFASN
190,ARVSMART
191,ASAHIINDIA
192,ASAHISONG
193,ASAL
194,ASALCBR
195,ASHAPURMIN
196,ASHIANA
197,ASHIMASYN
198,ASHOKA
199,ASHOKAMET
200,ASHOKLEY
201,ASIANENE
202,ASIANHOTNR
203,ASIANPAINT
204,ASIANTILES
205,ASKAUTOLTD
206,ASMS
207,ASPINWALL
208,ASTEC
209,ASTERDM
210,ASTRAL
211,ASTRAMICRO
212,ASTRAZEN
213,ASTRON
214,ATALREAL
215,ATAM
216,ATFL
217,ATGL
218,ATL
219,ATLANTA
220,ATLANTAA
221,ATLASCYCLE
222,ATUL
223,ATULAUTO
224,AUBANK
225,AURIONPRO
226,AUROPHARMA
227,AURUM
228,AUSOMENT
229,AUTOAXLES
230,AUTOBEES
231,AUTOIETF
232,AUTOIND
233,AUTOLITIND
234,AVADHSUGAR
235,AVALON
236,AVANTEL
237,AVANTIFEED
238,AVG
239,AVL
240,AVONMORE
241,AVROIND
