,symbol,available_days,first_trading_day,last_trading_day
0,20MICRONS,1108,2020-01-01,2025-03-03
1,21STCENMGM,976,2020-01-02,2023-12-26
2,360ONE,520,2023-01-23,2025-03-03
3,3IINFOLTD,821,2021-11-08,2025-03-03
4,3IINFOTECH,354,2020-01-01,2021-06-08
5,3MINDIA,1277,2020-01-01,2025-03-03
6,3PLAND,759,2020-01-01,2024-12-18
7,4THDIM,49,2022-09-22,2022-12-05
8,5PAISA,1217,2020-01-01,2025-03-03
9,63MOONS,980,2020-01-01,2025-03-03
10,8KMILES,7,2020-09-15,2020-09-23
11,A2ZINFRA,840,2020-01-01,2024-12-30
12,AAATECH,448,2022-11-28,2025-03-03
13,AADHARHFC,200,2024-05-15,2025-03-03
14,AAKASH,778,2020-09-29,2025-03-03
15,AAREYDRUGS,568,2021-08-06,2025-03-03
16,AARON,901,2020-11-06,2025-03-03
17,AARTECH,220,2023-07-10,2025-01-09
18,AARTIDRUGS,1276,2020-01-01,2025-03-03
19,AARTIIND,1276,2020-01-01,2025-03-03
20,AARTIPHARM,506,2023-02-13,2025-03-03
21,AARTISURF,999,2020-11-24,2025-03-03
22,AARVEEDEN,1008,2020-01-01,2024-08-02
23,AARVI,1159,2020-06-24,2025-03-03
24,AAVAS,1275,2020-01-01,2025-03-03
25,ABAN,949,2020-01-01,2025-02-17
26,ABB,1272,2020-01-06,2025-03-03
27,ABBOTINDIA,1275,2020-01-01,2025-03-03
28,ABCAPITAL,1275,2020-01-01,2025-03-03
29,ABDL,168,2024-07-02,2025-03-03
30,ABFRL,1275,2020-01-01,2025-03-03
31,ABGSEC,158,2024-07-10,2025-03-03
32,ABINFRA,36,2025-01-13,2025-03-03
33,ABMINTLLTD,317,2021-09-27,2025-03-03
34,ABMINTLTD,118,2021-02-02,2021-07-26
35,ABREL,99,2024-10-10,2025-03-03
36,ABSLAMC,838,2021-10-11,2025-03-03
37,ABSLBANETF,1266,2020-01-01,2025-03-03
38,ABSLLIQUID,465,2023-03-16,2025-03-03
39,ABSLNN50ET,1266,2020-01-01,2025-03-03
40,ABSLPSE,195,2024-05-23,2025-03-03
41,ACC,1275,2020-01-01,2025-03-03
42,ACCELYA,1275,2020-01-01,2025-03-03
43,ACCURACY,757,2020-12-14,2025-03-03
44,ACE,1274,2020-01-01,2025-03-03
45,ACEINTEG,430,2022-11-04,2025-03-03
46,ACI,565,2022-11-21,2025-03-03
47,ACL,400,2023-05-24,2025-03-03
48,ACLGATI,311,2023-11-30,2025-03-03
49,ACMESOLAR,76,2024-11-13,2025-03-03
50,ACRYSIL,454,2021-01-14,2022-11-17
51,ADANIENSOL,376,2023-08-24,2025-03-03
52,ADANIENT,1274,2020-01-01,2025-03-03
53,ADANIGAS,253,2020-01-01,2021-01-12
54,ADANIGREEN,1209,2020-01-01,2025-03-03
55,ADANIPORTS,1274,2020-01-01,2025-03-03
56,ADANIPOWER,1070,2020-01-01,2025-03-03
57,ADANITRANS,731,2020-01-01,2023-08-23
58,ADFFOODS,1274,2020-01-01,2025-03-03
59,ADHUNIKIND,273,2020-01-01,2021-05-19
60,ADL,172,2024-03-11,2025-03-03
61,ADLABS,30,2020-03-04,2020-04-21
62,ADORWELD,1274,2020-01-01,2025-03-03
63,ADROITINFO,599,2020-03-04,2025-03-03
64,ADSL,1232,2020-03-04,2025-03-03
65,ADVANIHOTR,1235,2020-01-01,2025-03-03
66,ADVENZYMES,1274,2020-01-01,2025-03-03
67,AEGISCHEM,1090,2020-01-01,2024-06-06
68,AEGISLOG,184,2024-06-07,2025-03-03
69,AEROFLEX,371,2023-08-31,2025-03-03
70,AETHER,679,2022-06-03,2025-03-03
71,AFCONS,83,2024-11-04,2025-03-03
72,AFFLE,1156,2020-01-01,2025-03-03
73,AFFORDABLE,90,2024-10-23,2025-03-03
74,AFIL,162,2024-07-10,2025-03-03
75,AGARIND,1219,2020-01-01,2025-03-03
76,AGARWALEYE,19,2025-02-04,2025-03-03
77,AGCNET,252,2020-01-01,2021-12-02
78,AGI,696,2022-05-11,2025-03-03
79,AGIIL,159,2024-07-15,2025-03-03
80,AGRITECH,950,2020-01-01,2025-03-03
81,AGROPHOS,1274,2020-01-01,2025-03-03
82,AGSTRA,686,2022-01-31,2025-01-29
83,AHL,518,2022-12-23,2025-01-29
84,AHLADA,892,2021-01-28,2025-03-03
85,AHLEAST,1225,2020-01-01,2025-03-03
86,AHLUCONT,1274,2020-01-01,2025-03-03
87,AHLWEST,416,2020-01-01,2021-10-22
88,AIAENG,1274,2020-01-01,2025-03-03
89,AIIL,215,2024-04-23,2025-03-03
90,AIONJSW,161,2020-01-01,2020-10-09
91,AIRAN,971,2020-01-01,2025-03-03
92,AIROLAM,766,2021-10-13,2025-03-03
93,AJANTPHARM,1274,2020-01-01,2025-03-03
94,AJAXENGG,10,2025-02-17,2025-03-03
95,AJMERA,1184,2020-01-01,2025-03-03
96,AJOONI,707,2021-05-07,2025-03-03
97,AJRINFRA,218,2021-10-12,2023-01-20
98,AKASH,870,2020-01-01,2025-03-03
99,AKG,876,2021-02-16,2025-03-03
100,AKI,202,2023-04-06,2025-01-01
101,AKSHAR,259,2022-05-23,2024-10-23
102,AKSHARCHEM,1246,2020-01-01,2025-03-03
103,AKSHOPTFBR,899,2020-01-01,2024-12-16
104,AKUMS,144,2024-08-06,2025-03-03
105,AKZOINDIA,1274,2020-01-01,2025-03-03
106,ALANKIT,1159,2020-01-01,2025-03-03
107,ALBERTDAVD,1211,2020-01-01,2025-03-03
108,ALBK,53,2020-01-01,2020-03-19
109,ALCHEM,121,2020-06-23,2020-12-16
110,ALEMBICLTD,1274,2020-01-01,2025-03-03
111,ALICON,1274,2020-01-01,2025-03-03
112,ALIVUS,31,2025-01-20,2025-03-03
113,ALKALI,1118,2020-01-01,2025-03-03
114,ALKEM,1274,2020-01-01,2025-03-03
115,ALKYLAMINE,1274,2020-01-01,2025-03-03
116,ALLCARGO,1264,2020-01-01,2025-03-03
117,ALLDIGI,107,2024-09-27,2025-03-03
118,ALLSEC,1167,2020-01-01,2024-09-26
119,ALMONDZ,1049,2020-01-01,2025-03-03
120,ALOKINDS,985,2020-03-05,2025-03-03
121,ALPA,1097,2020-01-01,2025-03-03
122,ALPHA,235,2024-03-20,2025-03-03
123,ALPHAETF,333,2023-10-27,2025-03-03
124,ALPHAGEO,1160,2020-01-01,2025-02-18
125,ALPL30IETF,297,2023-12-20,2025-03-03
126,ALPSINDUS,278,2020-03-06,2024-05-06
127,AMARAJABAT,941,2020-01-01,2023-10-26
128,AMBER,1274,2020-01-01,2025-03-03
129,AMBICAAGAR,771,2021-04-29,2025-03-03
130,AMBIKCO,1274,2020-01-01,2025-03-03
131,AMBUJACEM,1274,2020-01-01,2025-03-03
132,AMDIND,1060,2020-01-01,2025-03-03
133,AMIORG,857,2021-09-14,2025-03-03
134,AMJLAND,1209,2020-01-01,2025-03-03
135,AMNPLST,323,2023-11-10,2025-03-03
136,AMRUTANJAN,1274,2020-01-01,2025-03-03
137,ANANDRATHI,796,2021-12-14,2025-03-03
138,ANANTRAJ,1169,2020-01-01,2025-03-03
139,ANDHRABANK,53,2020-01-01,2020-03-19
140,ANDHRACEMT,437,2020-01-01,2023-03-02
141,ANDHRAPAP,1230,2020-03-05,2025-03-03
142,ANDHRSUGAR,1274,2020-01-01,2025-03-03
143,ANDPAPER,27,2020-01-22,2020-03-04
144,ANDREWYU,549,2021-08-05,2023-10-25
145,ANGELBRKG,271,2020-10-05,2021-11-10
