,EntryTime,DeltaLB,DeltaUB,sharpie,mal,map,total_pnl,MPL_Ratio,max_pnl,min_pnl,win_ratio
0,"(9, 15)",0.1,0.55,0.06958837731362585,-15.112839602714073,19.977590001954063,7559.758000000001,-1.3218951915804322,2431.63,-216.501,2.172995780590717
1,"(9, 15)",0.2,0.55,0.0639269258214756,-18.602618328373016,33.541144702490186,11552.812,-1.8030335359476084,5202.276,-394.76200000000006,1.8923076923076922
2,"(9, 15)",0.3,0.55,0.06538467887517205,-21.291928652597402,36.69624320478575,11535.910000000002,-1.7234814094827984,4124.63,-472.664,1.4655737704918033
3,"(9, 15)",0.4,0.55,0.06448350093416026,-19.1961743333634,37.37183786444053,12520.856,-1.9468378029619893,4781.994,-483.06800000000004,1.384126984126984
4,"(9, 30)",0.1,0.55,0.06756398909088981,-14.300740096251262,20.49833105074902,7290.535,-1.4333755395024883,2516.433,-253.031,2.227467811158798
5,"(9, 30)",0.2,0.55,0.05784409321653219,-19.870088597926898,30.98069814375438,10874.127,-1.5591625568789202,5142.491,-551.511,1.6293706293706294
6,"(9, 30)",0.3,0.55,0.0650702192651252,-19.23059076939609,35.65319081491425,11312.292,-1.8539831273230243,4044.854,-389.842,1.4258064516129032
7,"(9, 30)",0.4,0.55,0.059436368840067366,-19.105385428755643,36.191352104203666,11342.398,-1.8943010722899012,4786.656,-432.62899999999996,1.3395638629283488
8,"(9, 45)",0.1,0.55,0.05758400765005217,-14.028989251941914,20.26330667162698,7909.094,-1.4443882098506922,3742.141,-254.006,2.2
9,"(9, 45)",0.2,0.55,0.06368254287084145,-17.919250952534462,28.66346289439727,11175.088999999998,-1.5995904611371699,4818.397,-319.706,1.6385964912280702
10,"(9, 45)",0.3,0.55,0.05673280095482144,-19.655550788389856,33.963876655613895,8577.772000000003,-1.72795344283487,4071.6710000000003,-389.842,1.457516339869281
11,"(9, 45)",0.4,0.55,0.05951270630241895,-18.824738195787667,32.97670815781441,9568.550999999998,-1.7517751277514961,4345.91,-432.62899999999996,1.2896341463414633
12,"(10, 0)",0.1,0.55,0.04931955790985253,-15.63439091523134,23.245748511962578,6964.399,-1.4868342897398132,3791.874,-779.677,2.032258064516129
13,"(10, 0)",0.2,0.55,0.059625940422423584,-17.68558020171318,25.37380834622554,7624.921999999999,-1.4347173265917288,2822.7309999999998,-320.668,1.6293706293706294
14,"(10, 0)",0.3,0.55,0.05814238303357916,-19.47891876515919,31.41955153642654,9194.137,-1.6130028527366143,3695.327,-389.842,1.481848184818482
15,"(10, 0)",0.4,0.55,0.05917511145365251,-20.61524911577784,32.246676735301726,10446.261999999997,-1.5642147496836114,4211.848,-432.62899999999996,1.4542483660130718
16,"(10, 15)",0.1,0.55,0.052257098639059675,-13.679380369807493,22.103441491610237,6912.558000000001,-1.6158218350588416,3610.489,-282.886,2.0445344129554655
17,"(10, 15)",0.2,0.55,0.05182262076208989,-17.797900821282738,32.79588153305028,9370.999000000002,-1.842682564779378,5234.06,-319.766,1.6821428571428572
18,"(10, 15)",0.3,0.55,0.06525464995619795,-19.503756563353907,32.96428439459846,11084.981999999998,-1.6901505249781406,3865.385,-389.842,1.5150501672240804
19,"(10, 15)",0.4,0.55,0.05872916745964305,-19.388696740198334,32.41242822044853,9826.077,-1.671717736099728,3903.848,-432.62899999999996,1.3993610223642172
